2012	The Dark Knight Rises	actor	Emily Schooley	Hot Football Fan
2012	The Dark Knight Rises	actor	Monisha B. Schwartz	Football Fan
2012	The Dark Knight Rises	actor	Chris Sciacco	Gotham City Police Officer
2012	The Dark Knight Rises	actor	Steven Shaffer	Tank Driver
2012	The Dark Knight Rises	actor	Jason Shoemaker	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Aubrey Lynea Shore	Gotham Rogue Fan
2012	The Dark Knight Rises	actor	Barak Shpiez	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Saad Siddiqui	Gotham Rogues Ballboy
2012	The Dark Knight Rises	actor	Michael K. Sieg	Police Officer
2012	The Dark Knight Rises	actor	Gary Sievers	Prisoner
2012	The Dark Knight Rises	actor	Aaron Smith	Gotham Rogues Player
2012	The Dark Knight Rises	actor	Eric Smith	Thug
2012	The Dark Knight Rises	actor	Colin Snyder	Fan at Football Game
2012	The Dark Knight Rises	actor	Ken Spassione	Thug Combatant
2012	The Dark Knight Rises	actor	Steven T Stanton	Prisoner
2012	The Dark Knight Rises	actor	Blake Steigerwald	Mercenary
2012	The Dark Knight Rises	actor	Adam Storey	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Franz Strassmann	Gotham City Police Officer
2012	The Dark Knight Rises	actor	Tom Struthers	Sandwich Man
2012	The Dark Knight Rises	actor	John Michael Stubbins	Police Officer
2012	The Dark Knight Rises	actor	Kevin Tanski	Police Officer
2012	The Dark Knight Rises	actor	Sami Tesfay	Thug
2012	The Dark Knight Rises	actor	Matthew Thane	Thug
2012	The Dark Knight Rises	actor	John Tiech	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Nathan Todd	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Gualberto Del Toro	Mercenary
2012	The Dark Knight Rises	actor	TyLean Tuijl	Masquerade Ball Guest
2012	The Dark Knight Rises	actor	Joseph Tuiteleleapaga	Prisoner / Thug
2012	The Dark Knight Rises	actor	Thomas Tull	Gotham Rogues Owner
2012	The Dark Knight Rises	actor	Jaye Tyroff	Football Player
2012	The Dark Knight Rises	actor	Craig Usiak	Mercenary
2012	The Dark Knight Rises	actor	Chris Vaina	Thug
2012	The Dark Knight Rises	actor	Graciela Valderrama	Gotham Citizen
2012	The Dark Knight Rises	actor	Andrea Vasiliou	1st Girlfriend in Florence Café
2012	The Dark Knight Rises	actor	Michelle Vezzani	Gotham City Press
2012	The Dark Knight Rises	actor	Chris Victor	Boom Operator News Crew
2012	The Dark Knight Rises	actor	Barbara Vincent	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Mike Wallace	Gotham Rogues Player
2012	The Dark Knight Rises	actor	Ming Wang	Football Spectator
2012	The Dark Knight Rises	actor	Hines Ward	Gotham Rogues Player
2012	The Dark Knight Rises	actor	Michael O. Watkins	GPD Police Sergeant
2012	The Dark Knight Rises	actor	Christopher Watts	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Graig F. Weich	Bane's Thug
2012	The Dark Knight Rises	actor	James Werley	Pedestrian
2012	The Dark Knight Rises	actor	Lawrence Whitener	Gotham Citizen - Queensboro Bridge
2012	The Dark Knight Rises	actor	Nickolas Wiegand	TV Cameraman
2012	The Dark Knight Rises	actor	Erin Wilson	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Justin Michael Woods	Gotham City Police Officer
2012	The Dark Knight Rises	actor	Jason Yee	Mercenary Soldier
2012	The Dark Knight Rises	actor	Mitchell Yee	Gotham Prisoner / Male Mob Member / Thug
2012	The Dark Knight Rises	actor	Nikolay Yeriomin	Prisoner
2012	The Dark Knight Rises	actor	Maria Zambrana	Gotham Citizen
